from,to,m,km,miles,seconds,minutes,hours
"Adams County, Wisconsin","St Joseph's Hospital, Milwaukee",246498,246.498,153.17385720000001,8266,137.76666666666668,2.296111111111111
"Ashland, Ashland County, Wisconsin","St Joseph's Hospital, Milwaukee",544365,544.365,338.268411,19867,331.1166666666667,5.518611111111111
"Barron County, Wisconsin","St Joseph's Hospital, Milwaukee",474645,474.645,294.944403,15455,257.5833333333333,4.293055555555555
"Bayfield County, Wisconsin","St Joseph's Hospital, Milwaukee",575244,575.244,357.4566216,21521,358.68333333333334,5.978055555555556
"Brown County, Wisconsin","St Joseph's Hospital, Milwaukee",173905,173.905,108.06456700000001,6200,103.33333333333333,1.7222222222222223
"Buffalo County, Wisconsin","St Joseph's Hospital, Milwaukee",411671,411.671,255.81235940000002,14288,238.13333333333333,3.968888888888889
"Burnett County, Wisconsin","St Joseph's Hospital, Milwaukee",553591,553.591,344.0014474,18572,309.53333333333336,5.158888888888889
"Calumet County, Wisconsin","St Joseph's Hospital, Milwaukee",143804,143.804,89.3598056,5675,94.58333333333333,1.5763888888888888
"Chippewa County, Wisconsin","St Joseph's Hospital, Milwaukee",431279,431.279,267.9967706,14403,240.05,4.0008333333333335
"Clark County, Wisconsin","St Joseph's Hospital, Milwaukee",359137,359.137,223.1677318,13010,216.83333333333334,3.613888888888889
"Columbia County, Wisconsin","St Joseph's Hospital, Milwaukee",149376,149.376,92.82224640000001,5304,88.4,1.4733333333333334
"Crawford County, Wisconsin","St Joseph's Hospital, Milwaukee",260226,260.226,161.70443640000002,10595,176.58333333333334,2.9430555555555555
"Dane County, Wisconsin","St Joseph's Hospital, Milwaukee",144418,144.418,89.7413452,5374,89.56666666666666,1.4927777777777778
"Dodge County, Wisconsin","St Joseph's Hospital, Milwaukee",85911,85.911,53.385095400000004,3796,63.266666666666666,1.0544444444444445
"Door County, Wisconsin","St Joseph's Hospital, Milwaukee",248396,248.396,154.3532744,8649,144.15,2.4025
"Douglas County, Wisconsin","St Joseph's Hospital, Milwaukee",590020,590.02,366.63842800000003,19529,325.48333333333335,5.424722222222222
"Dunn County, Wisconsin","St Joseph's Hospital, Milwaukee",433913,433.913,269.63353820000003,14133,235.55,3.9258333333333333
"Eau Claire County, Wisconsin","St Joseph's Hospital, Milwaukee",385287,385.287,239.4173418,12809,213.48333333333332,3.5580555555555557
"Florence County, Wisconsin","St Joseph's Hospital, Milwaukee",360765,360.765,224.179371,13529,225.48333333333332,3.7580555555555555
"Fond du Lac County, Wisconsin","St Joseph's Hospital, Milwaukee",81367,81.367,50.5614538,3474,57.9,0.965
"Forest County, Wisconsin","St Joseph's Hospital, Milwaukee",341884,341.884,212.4467176,13221,220.35,3.6725
"Grant County, Wisconsin","St Joseph's Hospital, Milwaukee",247942,247.942,154.0711588,9289,154.81666666666666,2.580277777777778
"Green County, Wisconsin","St Joseph's Hospital, Milwaukee",176025,176.025,109.38193500000001,6869,114.48333333333333,1.9080555555555556
"Green Lake County, Wisconsin","St Joseph's Hospital, Milwaukee",148832,148.832,92.4842048,6006,100.1,1.6683333333333332
"Iowa County, Wisconsin","St Joseph's Hospital, Milwaukee",196553,196.553,122.1380342,7047,117.45,1.9575
"Iron County, Wisconsin","St Joseph's Hospital, Milwaukee",473114,473.114,293.99303960000003,17569,292.81666666666666,4.880277777777778
"Jackson County, Wisconsin","St Joseph's Hospital, Milwaukee",317473,317.473,197.2777222,10537,175.61666666666667,2.9269444444444446
"Jefferson County, Wisconsin","St Joseph's Hospital, Milwaukee",69328,69.328,43.0804192,2725,45.416666666666664,0.7569444444444444
"Juneau County, Wisconsin","St Joseph's Hospital, Milwaukee",233121,233.121,144.8613894,7850,130.83333333333334,2.1805555555555554
"Kenosha, Kenosha County, Wisconsin","St Joseph's Hospital, Milwaukee",69790,69.79,43.367506000000006,3144,52.4,0.8733333333333333
