from,to,m,km,miles,seconds,minutes,hours
"Adams County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,42848,42.848,26.625747200000003,1950,32.5,0.5416666666666666
"Ashland, Ashland County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,310188,310.188,192.7508232,13175,219.58333333333334,3.6597222222222223
"Barron County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,243916,243.916,151.5694024,9239,153.98333333333332,2.566388888888889
"Bayfield County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,342377,342.377,212.75306780000003,14776,246.26666666666668,4.104444444444445
"Brown County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,190491,190.491,118.3711074,7102,118.36666666666666,1.9727777777777777
"Buffalo County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,190568,190.568,118.41895520000001,8515,141.91666666666666,2.3652777777777776
"Burnett County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,322862,322.862,200.62644680000002,12356,205.93333333333334,3.4322222222222223
"Calumet County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,148324,148.324,92.1685336,6085,101.41666666666667,1.6902777777777778
"Chippewa County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,181233,181.233,112.61818620000001,7935,132.25,2.2041666666666666
"Clark County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,119508,119.508,74.2622712,5355,89.25,1.4875
"Columbia County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,135667,135.667,84.3034738,5438,90.63333333333334,1.5105555555555557
"Crawford County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,197343,197.343,122.6289402,9074,151.23333333333332,2.5205555555555557
"Dane County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,182237,182.237,113.2420718,7070,117.83333333333333,1.9638888888888888
"Dodge County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,184393,184.393,114.5818102,7420,123.66666666666667,2.061111111111111
"Door County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,257376,257.376,159.9334464,9277,154.61666666666667,2.5769444444444445
"Douglas County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,359291,359.291,223.2634274,13312,221.86666666666667,3.6977777777777776
"Dunn County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,203184,203.184,126.25853760000001,7917,131.95,2.1991666666666667
"Eau Claire County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,141276,141.276,87.7889064,6145,102.41666666666667,1.7069444444444444
"Florence County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,268679,268.679,166.9571306,11402,190.03333333333333,3.167222222222222
"Fond du Lac County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,190110,190.11,118.134354,7233,120.55,2.0091666666666668
"Forest County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,210873,210.873,131.0364822,8619,143.65,2.3941666666666666
"Grant County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,217842,217.842,135.3670188,10122,168.7,2.8116666666666665
"Green County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,245762,245.762,152.71650680000002,9321,155.35,2.589166666666667
"Green Lake County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,106969,106.969,66.4705366,5106,85.1,1.4183333333333332
"Iowa County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,200254,200.254,124.43783560000001,8614,143.56666666666666,2.392777777777778
"Iron County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,264345,264.345,164.263983,10976,182.93333333333334,3.048888888888889
"Jackson County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,94216,94.216,58.545822400000006,4185,69.75,1.1625
"Jefferson County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,217271,217.271,135.01219940000001,7575,126.25,2.1041666666666665
"Juneau County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,78295,78.295,48.652513000000006,3493,58.21666666666667,0.9702777777777778
"Kenosha, Kenosha County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,336944,336.944,209.3770016,11856,197.6,3.2933333333333334
"Kewaunee, Kewaunee County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,224785,224.785,139.681399,8460,141,2.35
"La Crosse County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,144574,144.574,89.83828360000001,5886,98.1,1.635
"Lafayette County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,226419,226.419,140.69676660000002,10622,177.03333333333333,2.9505555555555554
"Langlade County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,144120,144.12,89.556168,6304,105.06666666666666,1.751111111111111
"Lincoln County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,133867,133.867,83.1849538,5318,88.63333333333334,1.4772222222222222
"Manitowoc, Manitowoc County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,202199,202.199,125.6464586,8609,143.48333333333332,2.391388888888889
"Marathon County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,63565,63.565,39.499291,2861,47.68333333333333,0.7947222222222222
"Marinette County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,279467,279.467,173.66079380000002,10418,173.63333333333333,2.8938888888888887
"Marquette County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,87237,87.237,54.209071800000004,3429,57.15,0.9525
"Menominee County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,148203,148.203,92.0933442,6318,105.3,1.755
"Milwaukee County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,281413,281.413,174.8700382,9592,159.86666666666667,2.6644444444444444
"Monroe County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,108132,108.132,67.19322480000001,5097,84.95,1.4158333333333333
"Oconto County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,217588,217.588,135.2091832,7904,131.73333333333332,2.1955555555555555
"Oneida County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,174734,174.734,108.5797076,6529,108.81666666666666,1.813611111111111
"Outagamie County, Wisconsin",Planned Parenthood - Wisconsin Rapids Health Center,132389,132.389,82.26652460000001,5700,95,1.5833333333333333
