FIPS,county,num_pfc,num_fqhc
55001,Adams ,2,0
55003,Ashland ,2,0
55005,Barron ,2,1
55007,Bayfield ,2,1
55009,Brown ,2,0
55011,Buffalo ,0,0
55013,Burnett ,2,0
55015,Calumet ,3,1
55017,Chippewa ,4,3
55019,Clark ,3,2
55021,Columbia ,1,0
55023,Crawford ,1,0
55025,Dane ,5,3
55027,Dodge ,1,0
55029,Door ,1,1
55031,Douglas ,2,1
55033,Dunn ,1,0
55035,Eau Claire ,2,0
55037,Florence ,1,0
55039,Fond du Lac ,1,0
55041,Forest ,3,0
55043,Grant ,1,0
55045,Green ,0,0
55047,Green Lake ,0,0
55049,Iowa ,1,0
55051,Iron ,1,0
55053,Jackson ,2,0
55055,Jefferson ,1,0
55057,Juneau ,1,0
55059,Kenosha ,2,1
55061,Kewaunee ,0,0
55063,La Crosse ,1,0
55065,Lafayette ,0,0
55067,Langlade ,1,0
55069,Lincoln ,1,0
55071,Manitowoc ,1,0
55073,Marathon ,6,5
55075,Marinette ,1,0
55077,Marquette ,0,0
55078,Menominee ,1,0
55079,Milwaukee ,13,1
55081,Monroe ,3,2
55083,Oconto ,2,1
55085,Oneida ,2,1
55087,Outagamie ,1,0
55089,Ozaukee ,0,0
55091,Pepin ,1,0
55093,Pierce ,1,0
55095,Polk ,1,0
55097,Portage ,1,0
55099,Price ,3,2
55101,Racine ,2,1
55103,Richland ,1,0
55105,Rock ,3,2
55107,Rusk ,2,1
55109,St. Croix ,1,0
55111,Sauk ,1,0
55113,Sawyer ,4,1
55115,Shawano ,2,0
55117,Sheboygan ,1,0
55119,Taylor ,1,0
55121,Trempealeau ,1,0
55123,Vernon ,0,0
55125,Vilas ,2,0
55127,Walworth ,1,0
55129,Washburn ,2,1
55131,Washington ,1,0
55133,Waukesha ,1,0
55135,Waupaca ,1,0
55137,Waushara ,2,1
55139,Winnebago ,1,0
55141,Wood ,1,0
