FIPS,State,County,poverty,smoking,obese,teen_br,uninsured,some_college,unemployed,child_mort,inf_mort,elig_lunch
55001,Wisconsin,Adams,13.9,16,33,29,8,48.9,6.2,,,71
55003,Wisconsin,Ashland,14.5,17,31,26,9,68.5,5.6,,,60
55005,Wisconsin,Barron,11.3,16,33,23,7,57.8,4.7,35.5,,47
55007,Wisconsin,Bayfield,12.4,17,29,20,10,68.7,7.1,,,52
55009,Wisconsin,Brown,9.8,16,30,23,8,68.9,3.7,50.0,6,41
55011,Wisconsin,Buffalo,10.5,16,33,13,7,62.0,4.6,,,35
55013,Wisconsin,Burnett,13.8,16,30,25,9,59.5,6.2,,,47
55015,Wisconsin,Calumet,5.0,14,31,10,4,73.5,3.3,35.9,,30
55017,Wisconsin,Chippewa,11.5,15,28,17,7,63.7,4.4,73.1,7,42
55019,Wisconsin,Clark,13.8,17,32,15,18,43.1,4.0,39.4,7,52
55021,Wisconsin,Columbia,8.2,15,35,17,5,64.5,3.7,35.6,,36
55023,Wisconsin,Crawford,14.2,16,36,14,7,58.5,5.0,73.0,,57
55025,Wisconsin,Dane,10.9,13,24,11,5,82.9,2.9,41.8,5,31
55027,Wisconsin,Dodge,9.8,16,34,17,5,57.2,3.8,53.5,5,41
55029,Wisconsin,Door,8.3,14,28,14,7,62.5,5.1,65.0,,37
55031,Wisconsin,Douglas,13.6,17,32,22,7,69.4,5.5,44.7,,44
55033,Wisconsin,Dunn,12.5,15,34,9,6,69.5,4.2,42.4,,37
55035,Wisconsin,Eau Claire,13.1,15,28,12,6,73.4,3.5,52.6,5,40
55037,Wisconsin,Florence,12.3,15,33,,9,70.4,6.2,,,54
55039,Wisconsin,Fond du Lac,7.7,15,33,19,6,63.9,3.6,38.1,6,40
55041,Wisconsin,Forest,15.9,18,34,39,11,56.4,6.4,,,41
55043,Wisconsin,Grant,16.7,16,35,9,8,65.0,4.1,47.1,7,41
55045,Wisconsin,Green,8.2,14,33,16,6,67.1,3.4,35.3,,35
55047,Wisconsin,Green Lake,11.6,17,37,17,10,52.5,5.0,,,41
55049,Wisconsin,Iowa,8.8,15,31,13,6,67.6,3.6,45.2,,32
55051,Wisconsin,Iron,14.4,14,29,11,8,66.2,7.7,,,50
55053,Wisconsin,Jackson,11.1,17,34,24,10,50.9,4.5,54.4,,50
55055,Wisconsin,Jefferson,9.3,15,29,11,6,64.8,4.0,28.0,3,36
55057,Wisconsin,Juneau,14.4,17,35,28,8,52.5,4.6,46.8,,55
55059,Wisconsin,Kenosha,13.0,18,31,26,7,63.4,4.8,44.0,5,45
55061,Wisconsin,Kewaunee,7.6,14,34,17,6,65.2,3.8,,,24
55063,Wisconsin,La Crosse,13.3,15,31,10,5,78.7,3.7,40.8,4,37
55065,Wisconsin,Lafayette,11.7,16,37,17,9,62.2,3.3,,,38
55067,Wisconsin,Langlade,14.2,16,31,31,8,57.7,5.3,71.6,,56
55069,Wisconsin,Lincoln,10.0,17,29,28,6,59.0,4.5,45.3,,40
55071,Wisconsin,Manitowoc,9.2,15,31,22,6,59.7,4.5,32.6,6,35
55073,Wisconsin,Marathon,10.4,15,31,18,6,66.0,3.7,40.3,5,36
55075,Wisconsin,Marinette,12.4,18,32,20,7,63.1,5.6,40.8,,47
55077,Wisconsin,Marquette,12.0,16,36,21,7,53.1,5.2,,,52
55078,Wisconsin,Menominee,27.2,33,45,78,10,50.7,7.8,,,85
55079,Wisconsin,Milwaukee,19.8,18,33,37,9,65.2,5.1,73.5,8,58
55081,Wisconsin,Monroe,12.0,17,34,27,8,63.8,4.0,58.4,8,48
55083,Wisconsin,Oconto,9.1,16,31,16,7,57.5,4.6,58.3,,39
55085,Wisconsin,Oneida,9.6,15,33,22,6,68.2,5.0,44.7,,47
55087,Wisconsin,Outagamie,8.0,15,30,16,6,70.8,3.6,41.6,5,31
55089,Wisconsin,Ozaukee,5.4,12,26,4,4,81.9,3.5,24.7,,14
55091,Wisconsin,Pepin,11.5,16,34,13,8,61.2,3.9,,,37
55093,Wisconsin,Pierce,8.1,16,30,7,5,70.9,4.2,46.0,,25
55095,Wisconsin,Polk,9.9,15,32,18,8,62.3,4.7,47.5,,41
55097,Wisconsin,Portage,11.5,16,34,12,5,73.0,3.9,32.6,,34
55099,Wisconsin,Price,11.1,16,34,17,7,64.7,4.4,,,45
55101,Wisconsin,Racine,13.6,16,32,30,7,63.4,5.1,60.9,8,48
55103,Wisconsin,Richland,13.4,16,31,18,7,53.9,3.8,76.6,,52
55105,Wisconsin,Rock,12.9,19,34,30,8,60.5,4.6,46.9,6,49
55107,Wisconsin,Rusk,13.8,17,31,24,9,54.6,5.3,,,62
55109,Wisconsin,St. Croix,5.6,15,27,11,4,78.7,3.9,37.7,5,22
55111,Wisconsin,Sauk,10.1,15,31,21,7,62.2,3.7,36.0,7,40
55113,Wisconsin,Sawyer,15.2,19,31,40,11,63.2,6.5,,,54
55115,Wisconsin,Shawano,11.9,16,34,20,9,57.1,4.3,41.6,,48
55117,Wisconsin,Sheboygan,7.1,15,29,20,6,62.9,3.5,37.2,4,32
55119,Wisconsin,Taylor,11.8,16,32,16,8,50.0,4.3,51.4,,42
55121,Wisconsin,Trempealeau,8.2,15,31,26,8,59.4,3.8,,,44
55123,Wisconsin,Vernon,16.5,17,32,10,10,54.1,3.7,72.8,7,45
55125,Wisconsin,Vilas,12.6,16,29,23,10,66.5,5.8,76.1,,53
55127,Wisconsin,Walworth,11.2,15,25,15,8,63.1,4.1,40.0,6,43
55129,Wisconsin,Washburn,12.7,16,30,20,7,60.4,5.2,,,55
55131,Wisconsin,Washington,5.6,14,31,8,5,73.9,3.5,26.2,5,23
55133,Wisconsin,Waukesha,5.2,13,25,7,4,80.1,3.6,29.8,4,18
55135,Wisconsin,Waupaca,10.7,16,32,22,7,54.7,4.1,43.3,,41
55137,Wisconsin,Waushara,14.3,16,34,32,9,46.9,5.2,55.1,,53
55139,Wisconsin,Winnebago,11.7,16,34,16,5,67.6,3.7,49.5,6,39
55141,Wisconsin,Wood,9.8,16,32,23,6,65.7,5.0,37.4,4,40
